name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
408;0.01;True;0.01;True;ERR;ERR;0.94;True;0.22546723599999996;0.06;True;0.04;False;0.03;True;ERR
409;0.01;True;7.51;False;15.51;False;ERR;ERR;ERR;0.89;False;0.1;False;19.22;False;ERR
410;0.02;True;0.01;True;ERR;ERR;0.14;True;0.093442943;0.08;True;0.05;False;0.05;True;ERR
411;0.02;True;0.01;True;ERR;ERR;1.46;True;0.308184229;0.07;True;0.04;False;0.04;True;ERR
412;0.01;True;0.01;True;ERR;ERR;1.11;True;0.28723693699999997;0.07;True;0.03;False;0.05;True;ERR
413;0.01;True;0.02;False;0.01;False;0.45;False;0.32594307499999997;0.05;False;0.06;False;0.04;False;ERR
414;0.01;True;0.0;True;ERR;ERR;0.64;True;0.38238822299999997;0.07;True;0.12;False;0.06;True;ERR
415;0.01;True;0.01;False;0.01;False;0.59;False;0.512590212;0.06;False;0.07;False;0.03;False;ERR
416;0.02;True;0.02;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.03;False;ERR
417;0.02;True;0.01;True;ERR;ERR;0.75;True;0.23343161300000004;0.07;True;0.04;False;0.05;True;ERR
418;0.02;True;0.02;False;0.01;False;0.08;False;7.600000000000662e-05;0.06;False;0.04;False;0.04;False;ERR
419;0.01;True;0.02;True;ERR;ERR;1.06;True;0.277275807;0.07;True;0.06;False;0.05;True;ERR
420;0.01;True;0.02;True;ERR;ERR;0.15;True;0.121738782;0.08;True;0.03;False;ERR;ERR;ERR
421;0.02;True;0.01;True;ERR;ERR;0.13;True;0.089291499;0.05;True;0.04;False;0.03;True;ERR
422;0.02;True;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.04;False;ERR
423;0.01;True;0.01;True;ERR;ERR;0.19;True;0.1201524;0.08;True;0.05;False;0.03;True;ERR
424;0.02;True;0.01;False;0.01;False;1.25;False;0.24821522799999995;0.06;False;0.05;False;0.03;False;ERR
425;0.01;True;0.02;True;ERR;ERR;1.38;True;0.294189504;0.08;True;0.04;False;0.04;True;ERR
426;0.02;True;0.01;True;ERR;ERR;5.8;True;0.5158076149999999;0.05;True;0.07;False;0.04;True;ERR
427;ERR;ERR;0.01;True;ERR;ERR;ERR;ERR;ERR;0.06;True;0.08;True;0.03;True;ERR
428;0.01;True;0.02;False;0.01;False;0.41;False;0.315528946;0.07;False;0.07;False;0.04;False;ERR
429;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.04;False;0.05;False;ERR
430;0.01;True;0.01;True;ERR;ERR;0.33;True;0.263808653;0.06;True;0.06;False;0.04;True;ERR
431;0.01;True;0.01;True;ERR;ERR;0.52;True;0.254237135;0.06;True;0.03;False;0.03;True;ERR
432;ERR;ERR;0.0;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.04;False;ERR;ERR;ERR
433;ERR;ERR;0.01;False;0.0;False;0.04;False;1.8090000000005324e-05;0.07;False;0.04;False;0.03;False;ERR
434;0.01;True;0.0;True;ERR;ERR;1.39;True;0.27696500599999985;0.07;True;0.06;False;0.03;True;ERR
435;0.01;True;0.01;False;0.01;False;0.09;False;7.445100000000315e-05;0.07;False;0.05;False;0.04;False;ERR
436;0.0;True;0.02;False;0.02;False;0.42;False;0.327916157;0.06;False;0.07;False;0.05;False;ERR
437;0.01;True;0.01;True;ERR;ERR;0.15;True;0.107409177;0.06;True;0.04;False;0.04;True;ERR
438;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;0.96;False;TO;TO;ERR
439;ERR;ERR;0.01;False;0.02;False;0.03;False;1.8360000000001986e-05;0.07;False;0.06;False;0.04;False;ERR
440;0.02;True;TO;TO;0.02;False;TO;TO;TO;TO;TO;TO;TO;TO;TO;ERR
441;0.01;True;0.01;False;0.01;False;0.36;False;0.284703284;0.06;False;0.08;False;0.05;False;ERR
442;0.01;True;0.01;True;ERR;ERR;1.4;True;0.29127410100000006;0.05;True;0.04;False;0.03;True;ERR
443;0.01;True;0.0;True;ERR;ERR;1.44;True;0.307554588;0.07;True;0.05;False;0.04;True;ERR
444;0.01;True;0.01;True;ERR;ERR;0.15;True;0.103829093;0.06;True;0.04;False;0.05;True;ERR
445;0.02;True;0.01;True;ERR;ERR;0.12;True;0.093079073;0.06;True;0.04;False;0.05;True;ERR
446;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;0.06;False;0.03;True;ERR
447;ERR;ERR;TO;TO;0.34;False;ERR;ERR;ERR;ERR;ERR;0.77;False;0.51;False;ERR
448;0.01;True;0.01;True;ERR;ERR;1.09;True;0.29901678900000006;0.06;True;0.04;False;0.03;True;ERR
449;0.0;True;TO;TO;0.02;False;0.64;False;0.526162946;TO;TO;TO;TO;TO;TO;ERR
450;0.02;True;0.02;False;0.01;False;ERR;ERR;ERR;0.07;False;0.07;False;0.04;False;ERR
451;0.01;True;0.0;False;0.02;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False;ERR
452;0.01;True;0.0;True;ERR;ERR;0.96;True;0.26125373099999993;0.06;True;0.04;False;0.04;True;ERR
453;0.02;True;0.01;False;0.0;False;0.98;False;0.0002620309999999959;0.06;False;0.04;False;0.04;False;ERR
454;0.02;True;0.0;False;0.01;False;1.0;False;0.0002982499999999444;0.05;False;0.04;False;0.05;False;ERR
455;0.01;True;0.01;False;0.01;False;1.18;False;0.00039730000000004484;0.07;False;0.03;False;0.04;False;ERR
456;0.01;True;0.0;False;0.01;False;1.02;False;0.00030542100000008343;0.07;False;0.03;False;0.03;False;ERR
457;0.01;True;0.01;True;ERR;ERR;1.07;True;0.2635458439999999;0.07;True;0.05;False;0.02;True;ERR
458;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.07;False;0.06;False;0.04;False;ERR
459;0.01;True;0.01;True;ERR;ERR;1.39;True;0.281153431;0.06;True;0.04;False;0.04;True;ERR
460;0.0;True;0.01;False;0.01;False;0.1;False;6.88200000000111e-05;0.07;False;0.03;False;0.04;False;ERR
461;0.02;True;0.01;True;ERR;ERR;1.36;True;0.2809236909999999;0.06;True;0.03;False;0.05;True;ERR
462;ERR;ERR;0.0;True;ERR;ERR;0.16;True;0.111495792;0.06;True;0.05;False;0.05;True;ERR
463;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR;0.08;False;0.05;False;0.04;False;ERR
464;ERR;ERR;0.02;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.08;False;0.05;False;ERR
465;0.02;True;0.02;False;0.01;False;0.96;False;0.0002784599999999804;0.06;False;0.04;False;0.04;False;ERR
466;0.02;True;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;ERR;ERR;4.13;False;ERR
467;0.01;True;0.0;True;ERR;ERR;1.12;True;0.26366204400000004;0.06;True;0.06;False;0.04;True;ERR
468;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.06;False;0.05;False;ERR
469;0.01;True;0.01;True;ERR;ERR;0.07;False;0.03675869699999999;0.06;True;0.04;False;0.03;True;ERR
470;ERR;ERR;0.01;True;ERR;ERR;ERR;ERR;ERR;0.07;True;0.06;True;0.06;True;ERR
471;0.0;True;0.01;True;ERR;ERR;1.27;True;0.2736829740000001;0.06;True;0.05;False;0.04;True;ERR
472;0.02;True;0.01;True;ERR;ERR;1.11;True;0.26219991200000003;0.06;True;0.06;False;0.04;True;ERR
473;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.07;False;0.05;False;0.06;False;ERR
474;0.01;True;0.02;True;ERR;ERR;0.76;True;0.27395402399999996;0.06;True;0.03;False;0.04;True;ERR
475;0.01;True;0.01;True;ERR;ERR;1.29;True;0.29966707000000015;0.06;True;0.03;False;0.04;True;ERR
476;ERR;ERR;0.02;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False;ERR
477;ERR;ERR;0.0;False;ERR;ERR;ERR;ERR;ERR;0.07;False;0.07;False;0.05;False;ERR
478;ERR;ERR;0.0;False;ERR;ERR;ERR;ERR;ERR;0.07;False;0.03;False;0.04;False;ERR
479;0.01;True;0.01;True;ERR;ERR;0.53;True;0.227932297;0.06;True;0.04;False;0.03;True;ERR
480;0.01;True;0.01;True;ERR;ERR;0.16;True;0.113996674;0.06;True;0.05;False;0.04;True;ERR
481;0.01;True;0.01;False;0.01;False;1.1;False;0.00030343100000007617;0.07;False;0.04;False;0.06;False;ERR
482;0.01;True;0.01;True;ERR;ERR;0.92;True;0.27918820899999996;0.07;True;0.07;False;0.05;True;ERR
483;0.0;True;0.01;True;ERR;ERR;0.06;False;0.039194459;0.06;True;0.04;False;0.05;True;ERR
484;0.01;True;TO;TO;TO;TO;0.22;False;0.17059393099999998;TO;TO;TO;TO;TO;TO;ERR
485;0.01;True;0.0;False;0.01;False;0.97;False;0.00029117000000000726;0.06;False;0.04;False;0.04;False;ERR
486;0.0;True;0.0;True;ERR;ERR;1.38;True;0.2920574819999999;0.07;True;0.05;False;0.04;True;ERR
487;0.02;True;0.01;True;ERR;ERR;0.16;True;0.127139067;0.06;True;0.03;False;0.05;True;ERR
488;0.01;True;0.01;False;0.01;False;0.21;False;0.167862087;0.05;False;0.08;False;0.05;False;ERR
489;0.02;True;0.01;True;ERR;ERR;1.67;True;0.29327604399999996;0.06;True;0.05;False;0.03;True;ERR
