name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
713;0.02;True;0.01;False;0.0;False;12.96;False;10.561595520000001;10.49;False;8.134460986;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
714;0.01;True;0.01;False;0.01;False;7.82;False;5.564718333;6.68;False;4.379804294;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
715;0.01;True;0.01;False;0.0;False;12.81;False;10.520625537999999;10.33;False;8.067347908999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
716;0.02;True;1.07;False;0.01;False;12.07;False;9.851264578;9.7;False;7.49980139;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
717;0.01;True;0.01;False;0.01;False;12.54;False;10.297502535;10.26;False;8.038997736999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
718;0.01;True;0.0;False;0.01;False;13.36;False;10.883175525;10.59;False;8.160173072;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
719;0.02;True;0.01;False;0.0;False;7.95;False;5.498122771999999;6.71;False;4.276633665;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
720;0.01;True;0.01;False;0.02;False;12.56;False;10.201177619;10.29;False;7.951057757000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
721;0.02;True;0.0;False;0.0;False;12.74;False;10.323339523000001;10.6;False;8.167791335;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
722;0.01;True;0.01;False;0.01;False;8.35;False;6.015619715;7.05;False;4.8044284059999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
723;0.01;True;0.01;False;0.01;False;12.54;False;10.367763063;10.31;False;8.069619594999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
724;0.01;True;0.01;False;0.01;False;12.66;False;10.403798151;11.63;False;9.418812186;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
725;0.0;True;0.01;False;0.0;False;8.07;False;5.665536081;6.7;False;4.3557970820000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
726;0.01;True;0.01;False;0.0;False;12.49;False;10.267917273;10.37;False;8.054932915999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
727;0.02;True;0.01;False;0.01;False;12.79;False;10.46473017;10.19;False;7.821853391000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
728;0.03;True;0.0;False;0.0;False;9.88;False;7.451767124000001;8.19;False;5.7831001330000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
729;0.02;True;0.01;False;0.01;False;7.65;False;5.413336698;6.44;False;4.172366792;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
730;0.01;True;1.09;False;0.01;False;12.5;False;10.057797533;10.2;False;7.760843316000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
731;0.02;True;0.01;False;0.0;False;12.78;False;10.300664336999999;10.54;False;8.084825132;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
732;0.02;True;0.0;False;0.01;False;9.14;False;6.909611303;7.62;False;5.3955633810000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
733;0.02;True;0.01;False;0.0;False;12.77;False;10.312059731;10.6;False;8.080711348;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
734;0.02;True;0.01;False;0.01;False;13.02;False;10.824665289999999;10.02;False;7.820347861;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
735;0.01;True;0.01;False;0.01;False;7.5;False;5.294619853;6.58;False;4.354083239;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
736;0.01;True;0.01;False;0.01;False;7.94;False;5.457625806;6.52;False;4.159053789000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
737;0.02;True;1.07;False;0.01;False;12.13;False;9.860305329000001;9.98;False;7.7328689939999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
738;0.02;True;0.02;False;0.0;False;12.77;False;10.370290035;10.5;False;8.122008613;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
739;0.02;True;0.01;False;0.01;False;7.53;False;5.250121602;6.48;False;4.195361598;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
740;0.01;True;0.69;False;0.01;False;7.07;False;4.9659134080000005;5.91;False;3.856348657;0.27;False;ERR;ERR;0.18;False;ERR;ERR;ERR
741;0.02;True;1.08;False;0.0;False;11.94;False;9.726376919;9.9;False;7.650828315;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
742;0.02;True;0.02;False;0.0;False;7.42;False;5.222030859;6.45;False;4.197762019;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
743;0.01;True;0.0;False;0.01;False;12.79;False;10.323125975;10.36;False;7.919867552000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
744;0.01;True;0.01;False;0.01;False;9.59;False;7.384256849000001;8.15;False;5.920271296;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
745;0.01;True;0.01;False;0.01;False;12.79;False;10.337446678000001;10.42;False;8.098241063;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
746;0.01;True;0.01;False;0.01;False;7.7;False;5.44321098;6.54;False;4.323865453;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
747;0.02;True;0.01;False;0.01;False;12.35;False;10.15876017;10.28;False;8.064601907;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
748;0.02;True;1.37;False;0.01;False;12.57;False;10.288333957999999;10.24;False;8.031797307;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
749;0.02;True;0.01;False;0.01;False;12.65;False;10.406601119;10.38;False;8.194698445;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
750;0.02;True;0.01;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
751;0.02;True;0.01;False;0.0;False;12.75;False;10.405712825999998;10.36;False;7.999127972999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
752;0.01;True;1.07;False;0.01;False;12.29;False;9.876494999;10.45;False;8.078711374000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
753;0.01;True;0.01;False;0.01;False;7.6;False;5.465497880000001;6.48;False;4.3134484660000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
754;0.02;True;0.01;False;0.01;False;12.58;False;10.215612684;10.6;False;8.211015582999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
755;0.02;True;1.07;False;0.01;False;12.17;False;9.969082514;9.75;False;7.535486957;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
756;0.02;True;0.01;False;0.01;False;12.59;False;10.269025588;10.63;False;8.243974926;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
757;0.01;True;0.01;False;0.01;False;8.09;False;5.887816674;6.86;False;4.680814492;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
758;0.02;True;1.07;False;0.01;False;11.91;False;9.735018052000001;9.92;False;7.692509798;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
759;0.03;True;0.02;False;0.0;False;12.34;False;10.103660505;10.19;False;8.027474620000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
760;0.01;True;0.01;False;0.01;False;8.46;False;6.441946651;6.9;False;4.91066562;0.08;False;ERR;ERR;0.05;False;ERR;ERR;ERR
761;0.01;True;0.01;False;0.01;False;12.84;False;10.515824902999999;10.46;False;8.045614597;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
762;0.02;True;0.01;False;0.01;False;9.94;False;7.655964383999999;8.07;False;5.712991881;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
763;0.03;True;0.0;False;0.01;False;12.79;False;10.430114461999999;10.38;False;7.960846919;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
764;0.02;True;0.02;False;0.01;False;12.7;False;10.357551944999999;10.38;False;8.058651817;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
765;0.01;True;0.01;False;0.01;False;9.67;False;8.966443852;7.84;False;7.155343924;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
766;0.01;True;0.01;False;0.01;False;9.67;False;8.953403697999999;7.71;False;7.008649673;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
767;0.01;True;0.0;False;0.0;False;9.74;False;9.056481189;7.55;False;6.84912072;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
768;0.01;True;0.01;False;0.01;False;9.81;False;9.136462682000001;7.63;False;6.944625963;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
769;0.01;True;0.01;False;0.01;False;9.94;False;9.259339075;7.57;False;6.900819319;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
770;0.01;True;0.01;False;0.01;False;9.77;False;9.031089554000001;7.91;False;7.171648354;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
771;0.01;True;0.0;False;0.01;False;9.7;False;8.974302761;7.78;False;7.043514039;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
772;0.02;True;0.0;False;0.01;False;9.73;False;9.023825924999999;7.85;False;7.155847968;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
773;0.01;True;0.01;False;0.0;False;9.89;False;9.186590203;7.72;False;7.010752119;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
774;0.02;True;0.01;False;0.01;False;9.77;False;9.076270761;7.75;False;7.030990235;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
775;0.01;True;0.01;False;0.01;False;11.95;False;11.229664296;7.63;False;6.924344711;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
776;0.01;True;0.01;False;0.01;False;9.52;False;8.853629539;7.77;False;7.056699234000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
777;0.01;True;0.01;False;0.01;False;9.79;False;9.072290628;7.65;False;6.9455584770000005;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
778;0.01;True;0.01;False;0.01;False;9.7;False;8.995912803000001;7.8;False;7.054579865999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
779;0.01;True;0.0;False;0.0;False;9.7;False;8.997674961;7.68;False;6.9369190849999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
780;0.01;True;0.01;False;0.01;False;9.74;False;9.012469656999999;7.67;False;6.97236406;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
781;0.02;True;0.01;False;0.01;False;9.8;False;9.104631604;7.81;False;7.097691556;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
782;0.01;True;0.01;False;0.01;False;9.8;False;9.082806564;8.05;False;7.359297285;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
783;0.01;True;0.01;False;0.01;False;9.77;False;9.03189753;7.71;False;7.000439640000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
784;0.01;True;0.01;False;0.01;False;9.56;False;8.866792914;7.75;False;7.054385122;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
785;0.01;True;0.01;False;0.01;False;9.99;False;9.287505473;7.75;False;7.060911540999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
786;0.01;True;0.0;False;0.01;False;9.81;False;9.138452959;7.66;False;6.982941995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
787;0.01;True;0.01;False;0.01;False;9.77;False;9.074154578;7.83;False;7.115718152;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
788;0.01;True;0.01;False;0.01;False;9.82;False;9.09682222;7.63;False;6.939124285;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
789;0.01;True;0.01;False;0.0;False;9.86;False;9.132630327000001;7.68;False;6.968311845;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
790;0.01;True;0.01;False;0.01;False;9.97;False;9.279472386999998;7.72;False;6.987463302999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
791;0.01;True;0.01;False;0.01;False;9.7;False;8.978824750000001;7.64;False;6.964080682;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
792;0.0;True;0.01;False;0.01;False;9.85;False;9.151698800999998;7.79;False;7.081697439;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
793;0.01;True;0.01;False;0.01;False;9.79;False;9.066092326;7.94;False;7.222297976;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
794;0.01;True;0.01;False;0.01;False;9.96;False;9.239245257;7.67;False;6.968028041;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
795;0.01;True;0.01;False;0.01;False;9.75;False;9.022611658;7.73;False;7.043309409;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
796;0.01;True;0.01;False;0.01;False;9.75;False;9.057684704;7.7;False;6.998374871;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
797;0.01;True;0.01;False;0.01;False;9.86;False;9.1658756;7.75;False;7.019238036;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
798;0.02;True;0.01;False;0.01;False;9.1;False;6.909666019;7.65;False;5.411285749;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
799;0.01;True;0.01;False;0.01;False;9.84;False;9.10953951;7.64;False;6.935284593;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
800;0.01;True;0.0;False;0.0;False;9.87;False;9.187967421;7.56;False;6.841566217;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
