name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
170;0.01;True;0.0;True;ERR;ERR;0.46;True;0.424373104;0.36;True;0.343558141;0.07;True;0.06;False;0.05;True;ERR;ERR;ERR
171;0.0;True;0.01;True;ERR;ERR;0.64;True;0.5482002180000001;0.59;True;0.508406218;0.05;True;0.05;False;0.05;True;ERR;ERR;ERR
172;0.01;True;0.01;True;ERR;ERR;0.42;True;0.39382935700000005;0.38;True;0.349409865;0.06;True;0.08;False;0.06;True;ERR;ERR;ERR
173;0.01;True;0.01;True;ERR;ERR;0.44;True;0.398586738;0.44;True;0.383338742;0.06;True;0.08;False;0.06;True;ERR;ERR;ERR
174;0.01;True;0.01;False;0.01;False;0.29;False;0.0024119509999999678;0.27;False;0.001907333000000011;0.07;False;0.04;False;0.05;False;ERR;ERR;ERR
175;0.01;True;0.0;True;ERR;ERR;0.73;True;0.646852696;0.55;True;0.462231289;0.06;True;0.09;False;0.05;True;ERR;ERR;ERR
176;ERR;ERR;0.01;False;0.01;False;0.04;False;7.52230000000062e-05;0.03;False;5.125700000000594e-05;0.07;False;0.05;False;0.04;False;ERR;ERR;ERR
177;0.01;True;0.01;True;ERR;ERR;0.6;True;0.498757726;0.6;True;0.50370483;0.06;True;0.09;False;0.06;True;ERR;ERR;ERR
178;0.01;True;0.01;True;ERR;ERR;0.64;True;0.563131852;0.58;True;0.493130588;0.07;True;0.09;False;0.05;True;ERR;ERR;ERR
179;0.01;True;0.01;True;ERR;ERR;0.81;True;0.703905722;0.77;True;0.672040914;0.05;True;0.07;False;0.04;True;ERR;ERR;ERR
180;0.01;True;0.01;False;0.01;False;0.26;False;0.0017801819999999913;0.26;False;0.0014866320000000155;0.06;False;0.05;False;0.05;False;ERR;ERR;ERR
181;0.01;True;0.01;True;ERR;ERR;0.61;True;0.55937977;0.47;True;0.414336149;0.07;True;0.07;False;0.06;True;ERR;ERR;ERR
182;0.0;True;0.01;True;ERR;ERR;0.38;True;0.344880515;0.33;True;0.300264526;0.07;True;0.08;False;0.05;True;ERR;ERR;ERR
183;ERR;ERR;0.0;False;0.02;False;0.03;False;6.723100000000093e-05;0.03;False;6.0951999999996065e-05;0.07;False;0.04;False;0.06;False;ERR;ERR;ERR
184;0.01;True;0.01;True;ERR;ERR;0.5;True;0.451421164;0.47;True;0.407038986;0.05;True;0.07;False;0.06;True;ERR;ERR;ERR
185;0.01;True;0.01;True;ERR;ERR;1.56;True;1.488218126;1.42;True;1.366086626;0.06;True;0.12;False;0.05;True;ERR;ERR;ERR
186;0.01;True;0.01;True;ERR;ERR;0.74;True;0.640189604;0.68;True;0.571407012;0.06;True;0.08;False;0.05;True;ERR;ERR;ERR
187;0.01;True;0.01;True;ERR;ERR;0.66;True;0.610715856;0.43;True;0.375904393;0.06;True;0.06;False;0.04;True;ERR;ERR;ERR
188;0.01;True;0.01;False;0.0;False;0.27;False;0.0019299970000000166;0.27;False;0.00154765300000001;0.08;False;0.04;False;0.03;False;0.04;True;0.020477861166000366
189;0.01;True;0.01;True;ERR;ERR;0.65;True;0.553348627;0.61;True;0.5232770099999999;0.07;True;0.09;False;0.04;True;ERR;ERR;ERR
190;0.01;True;0.0;True;ERR;ERR;0.87;True;0.748756894;0.68;True;0.581486871;0.07;True;0.07;False;0.06;True;ERR;ERR;ERR
191;0.01;True;0.01;False;0.01;False;0.27;False;0.0020874329999999996;0.27;False;0.0017051600000000111;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
192;0.01;True;0.01;True;ERR;ERR;1.59;False;1.551295767;1.37;False;1.34636284;0.06;True;0.18;False;0.05;True;ERR;ERR;ERR
193;0.01;True;0.01;True;ERR;ERR;0.68;True;0.566067958;0.55;True;0.440903507;0.07;True;0.09;False;0.04;True;ERR;ERR;ERR
194;0.01;True;0.0;True;ERR;ERR;0.55;True;0.48088435799999996;0.52;True;0.46081303100000004;0.06;True;0.06;False;0.07;True;ERR;ERR;ERR
195;0.01;True;0.01;False;0.0;False;0.29;False;0.0019219149999999963;0.27;False;0.0014912180000000164;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
196;0.02;True;0.01;True;ERR;ERR;0.61;True;0.519006408;0.57;True;0.486137243;0.06;True;0.1;False;0.05;True;ERR;ERR;ERR
197;0.01;True;0.01;False;0.01;False;0.28;False;0.0020349049999999758;0.27;False;0.0016045490000000107;0.06;False;0.06;False;0.05;False;ERR;ERR;ERR
198;0.01;True;0.01;False;0.01;False;0.05;False;0.0003534509999999977;0.05;False;0.0002891839999999979;0.07;False;0.05;False;0.06;False;ERR;ERR;ERR
199;0.01;True;0.01;True;ERR;ERR;0.73;True;0.624325954;0.61;True;0.515640286;0.08;True;0.07;False;0.05;True;ERR;ERR;ERR
200;0.01;True;0.01;True;ERR;ERR;1.57;False;1.547653467;1.33;False;1.2946133149999999;0.06;True;0.21;False;0.05;True;ERR;ERR;ERR
201;0.01;True;0.01;True;ERR;ERR;0.66;True;0.5527817260000001;0.65;True;0.537005097;0.06;True;0.1;False;0.03;True;ERR;ERR;ERR
202;ERR;ERR;0.01;False;0.01;False;0.03;False;6.907299999999589e-05;0.02;False;5.457200000000273e-05;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
203;0.02;True;0.01;True;ERR;ERR;0.76;True;0.564038093;0.8;True;0.6339896570000001;0.06;True;0.09;False;0.05;True;ERR;ERR;ERR
204;0.02;True;0.01;False;0.01;False;0.25;False;0.0017227459999999972;0.26;False;0.0013548729999999787;0.06;False;0.05;False;0.05;False;ERR;ERR;ERR
205;0.01;True;0.01;False;0.01;False;0.26;False;0.0019650400000000012;0.25;False;0.001548063999999988;0.07;False;0.02;False;0.02;False;ERR;ERR;ERR
206;0.01;True;0.01;True;ERR;ERR;0.56;True;0.469745498;0.51;True;0.42742622700000005;0.07;True;0.07;False;0.05;True;ERR;ERR;ERR
207;0.02;True;0.01;False;0.01;False;0.04;False;0.0003537709999999958;0.05;False;0.0002729190000000034;0.08;False;0.03;False;0.05;False;ERR;ERR;ERR
208;0.01;True;0.01;True;ERR;ERR;0.65;True;0.5823490960000001;0.46;True;0.390729676;0.06;True;0.07;False;0.06;True;ERR;ERR;ERR
209;0.01;True;10.85;False;0.01;False;3.34;False;2.099878047;2.9;False;1.67558359;2.25;False;0.1;False;11.96;False;ERR;ERR;ERR
210;0.01;True;0.04;False;0.01;False;3.28;False;3.228269032;2.58;False;2.5273361519999997;0.06;False;0.13;False;0.06;False;ERR;ERR;ERR
211;0.01;True;0.0;False;0.01;False;0.26;False;0.0023548240000000054;0.28;False;0.001866722000000015;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
212;0.01;True;0.01;True;ERR;ERR;0.7;True;0.57366406;0.71;True;0.595954168;0.06;True;0.1;False;0.05;True;ERR;ERR;ERR
213;0.01;True;0.01;False;0.01;False;0.28;False;0.0024070430000000254;0.27;False;0.001876055999999987;0.06;False;0.04;False;0.05;False;ERR;ERR;ERR
214;0.01;True;0.01;True;ERR;ERR;1.79;True;1.7441905389999999;1.52;True;1.493768127;0.06;True;0.17;False;0.04;True;ERR;ERR;ERR
215;0.01;True;0.01;True;ERR;ERR;0.63;True;0.538415841;0.67;True;0.565903271;0.06;True;0.07;False;0.04;True;ERR;ERR;ERR
216;0.02;True;0.0;True;ERR;ERR;0.35;False;0.31151811900000004;0.36;False;0.32194369700000003;0.06;True;0.08;False;0.05;True;ERR;ERR;ERR
217;ERR;ERR;31.24;False;ERR;ERR;1.67;False;1.5792389670000002;1.38;False;1.286424403;6.3;False;0.1;False;24.34;False;ERR;ERR;ERR
218;0.01;True;0.03;False;0.0;False;3.25;False;3.1976849859999996;2.54;False;2.4984275890000003;0.06;False;0.23;False;0.07;False;ERR;ERR;ERR
219;0.01;True;0.01;True;ERR;ERR;1.61;False;1.5805988069999999;1.34;False;1.318596977;0.06;True;0.37;False;0.04;True;ERR;ERR;ERR
220;ERR;ERR;0.01;False;0.01;False;0.04;False;7.112700000000416e-05;0.02;False;4.94239999999993e-05;0.08;False;0.02;False;0.05;False;ERR;ERR;ERR
221;0.02;True;0.01;True;ERR;ERR;0.56;True;0.476465023;0.67;True;0.5824914999999999;0.07;True;0.1;False;0.07;True;ERR;ERR;ERR
222;0.01;True;0.01;False;0.01;False;0.27;False;0.0022184000000000093;0.3;False;0.0017252590000000345;0.07;False;0.05;False;0.04;False;ERR;ERR;ERR
223;0.01;True;0.01;True;ERR;ERR;0.44;True;0.41013174799999996;0.43;True;0.387725917;0.05;True;0.07;False;0.04;True;ERR;ERR;ERR
224;0.0;True;0.03;False;0.01;False;3.23;False;3.1821175;2.61;False;2.557178225;0.06;False;0.22;False;0.05;False;ERR;ERR;ERR
225;0.01;True;0.01;False;0.01;False;0.27;False;0.0019828159999999984;0.27;False;0.0015836469999999936;0.05;False;0.05;False;0.06;False;ERR;ERR;ERR
226;0.01;True;0.01;True;ERR;ERR;0.82;True;0.710851197;0.77;True;0.653813804;0.08;True;0.09;False;0.05;True;ERR;ERR;ERR
227;0.01;True;0.01;False;0.01;False;0.05;False;0.00036554899999999974;0.04;False;0.0003004510000000002;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
228;0.02;True;0.01;True;ERR;ERR;0.56;True;0.509394642;0.51;True;0.45760285199999995;0.05;True;0.07;False;0.05;True;ERR;ERR;ERR
229;0.01;True;0.01;False;0.01;False;0.05;False;0.0008385690000000043;0.04;False;0.0006697459999999988;0.07;False;0.05;False;0.04;False;ERR;ERR;ERR
230;0.01;True;0.0;True;ERR;ERR;0.71;True;0.598976142;0.6;True;0.5018392319999999;0.05;True;0.08;False;0.05;True;ERR;ERR;ERR
231;0.0;True;0.01;True;ERR;ERR;0.78;True;0.6915647570000001;0.59;True;0.5168775320000001;0.06;True;0.08;False;0.05;True;ERR;ERR;ERR
232;0.01;True;0.0;True;ERR;ERR;0.67;True;0.584589229;0.64;True;0.537238715;0.05;True;0.06;False;0.04;True;ERR;ERR;ERR
233;0.02;True;0.01;True;ERR;ERR;0.78;True;0.673912222;0.64;True;0.522320774;0.06;True;0.06;False;0.04;True;ERR;ERR;ERR
234;0.01;True;0.02;False;0.02;False;1.88;False;1.832470347;1.48;False;1.434859093;0.06;False;0.12;False;0.05;False;ERR;ERR;ERR
235;0.01;True;0.01;True;ERR;ERR;0.57;True;0.47296444000000004;0.52;True;0.41167521599999995;0.06;True;ERR;ERR;0.05;True;ERR;ERR;ERR
236;0.0;True;0.0;False;0.01;False;0.05;False;0.000353860999999997;0.05;False;0.0002813920000000053;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
237;0.01;True;0.01;True;ERR;ERR;0.65;True;0.5958694;0.52;True;0.47266660200000005;0.05;True;0.07;False;0.06;True;ERR;ERR;ERR
