name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime
48;ERR;ERR;0.0;True;0.02;True;ERR;ERR;ERR;0.05;True;0.06;True;0.02;True;ERR
49;0.01;False;TO;TO;0.01;False;TO;TO;TO;TO;TO;ERR;ERR;TO;TO;ERR
50;0.01;True;0.0;True;0.0;True;0.4;True;0.19282956300000004;0.06;True;0.05;True;0.03;True;ERR
51;0.01;False;0.0;True;0.01;True;7.46;True;0.32594862599999974;ERR;ERR;ERR;ERR;ERR;ERR;ERR
52;ERR;ERR;0.01;False;0.01;False;1.88;False;0.15268312299999987;0.05;False;0.04;False;0.04;False;ERR
53;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.07;True;0.04;False;0.04;True;ERR
54;ERR;ERR;0.01;False;ERR;ERR;ERR;ERR;ERR;0.05;False;ERR;ERR;0.05;False;ERR
55;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False;ERR
56;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.07;False;0.05;False;0.03;False;ERR
57;0.01;False;0.01;False;0.01;False;40.0;False;0.00011168999999711104;0.06;False;0.02;False;0.04;False;ERR
58;0.02;False;0.98;False;0.0;False;ERR;ERR;ERR;0.22;False;0.02;False;0.03;False;ERR
59;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.05;False;ERR
60;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.03;False;ERR
61;0.0;False;0.01;False;0.01;False;0.2;False;9.041100000001245e-05;0.06;False;0.03;False;0.03;False;ERR
62;0.01;False;TO;TO;0.01;False;2.49;False;0.12675742700000026;TO;TO;5.61;False;66.42;False;ERR
63;0.01;False;0.02;False;0.01;False;0.04;False;0.0003287499999999957;0.06;False;0.13;False;0.05;False;ERR
64;TO;TO;51.02;True;0.48;True;ERR;ERR;ERR;0.14;True;0.03;False;1.23;True;ERR
65;ERR;ERR;0.0;False;0.01;False;10.85;False;0.00017247999999980834;0.06;False;0.04;False;0.03;False;ERR
66;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.04;False;ERR
67;0.04;True;0.11;True;0.22;True;ERR;ERR;ERR;0.09;True;ERR;ERR;0.34;True;ERR
68;0.0;False;0.03;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
69;ERR;ERR;0.01;False;0.0;False;8.91;False;0.0018707719999992989;0.06;False;0.02;False;0.04;False;ERR
70;0.01;False;TO;TO;ERR;ERR;0.14;False;0.000657690999999988;TO;TO;TO;TO;TO;TO;ERR
71;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.04;False;ERR
72;0.01;False;0.01;False;ERR;ERR;0.05;False;0.0007003010000000004;0.05;False;0.1;False;0.04;False;ERR
73;91.21;True;0.01;True;0.0;True;0.61;True;0.5408279810000001;0.06;True;6.04;False;0.05;True;ERR
74;ERR;ERR;0.01;True;0.0;True;0.47;True;0.092223363;0.05;True;0.04;True;0.04;True;ERR
75;0.01;False;0.0;False;0.01;False;0.25;False;3.235000000001431e-05;0.06;False;0.04;False;0.04;False;ERR
76;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.05;False;ERR
77;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.04;False;ERR
78;0.02;True;0.0;True;0.01;True;ERR;ERR;ERR;0.07;True;0.07;True;0.03;True;ERR
79;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.04;False;0.04;False;0.03;False;ERR
80;7.83;True;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.03;False;0.04;False;ERR
81;0.01;False;0.03;False;0.03;False;ERR;ERR;ERR;0.07;False;0.16;False;0.09;False;ERR
82;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False;ERR
83;0.02;False;2.22;False;0.09;False;ERR;ERR;ERR;0.47;False;1.24;False;4.9;False;ERR
84;0.02;False;4.42;False;0.01;False;ERR;ERR;ERR;5.58;False;0.03;False;0.15;False;ERR
85;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.03;False;ERR
86;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.07;False;0.04;False;ERR
87;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False;ERR
88;ERR;ERR;0.02;True;0.01;True;ERR;ERR;ERR;0.07;True;ERR;ERR;0.04;True;ERR
89;0.01;False;36.32;False;2.51;False;ERR;ERR;ERR;5.57;False;37.94;False;0.16;False;ERR
90;0.01;False;1.53;False;2.16;False;ERR;ERR;ERR;0.15;False;1.16;False;5.11;False;ERR
