name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;notrackrsa-runtime;notrackrsa-result;notrackrsa-matchtime;js-runtime;java-runtime;net-runtime;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
563;0.01;False;0.09;False;0.09;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
564;11.11;True;0.01;True;0.01;True;0.29;True;0.270780081;0.25;True;0.22416573299999998;ERR;ERR;ERR;ERR;ERR;ERR
565;ERR;ERR;0.01;False;0.0;False;14.24;False;0.2661726659999992;17.68;False;0.2847421370000003;ERR;ERR;ERR;ERR;ERR;ERR
566;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
567;87.85;False;0.37;False;0.54;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
568;0.01;False;TO;TO;0.01;False;29.98;False;0.38970059100000043;16.34;False;0.7538969389999988;ERR;ERR;ERR;ERR;ERR;ERR
569;0.01;False;0.91;False;1.38;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
570;0.02;False;0.84;False;1.29;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
571;0.01;False;0.01;False;0.01;False;0.38;False;0.15085108699999997;5.1;False;0.21721974700000057;ERR;ERR;ERR;ERR;ERR;ERR
572;0.01;True;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
573;0.01;False;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
574;0.02;False;0.66;False;1.16;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
575;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
576;0.01;False;1.34;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
577;0.01;False;49.59;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
578;0.01;False;0.01;False;0.02;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
579;0.01;False;0.02;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
580;ERR;ERR;0.01;True;0.01;True;5.82;True;0.18416287800000042;9.68;True;0.38488993099999913;ERR;ERR;ERR;ERR;ERR;ERR
581;0.01;False;0.01;False;0.0;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
582;0.09;True;0.01;True;0.0;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
583;0.01;False;0.0;True;0.0;True;0.35;True;0.107240107;0.52;True;0.172687604;ERR;ERR;ERR;ERR;ERR;ERR
584;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
585;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
586;0.01;False;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
587;TO;TO;0.55;False;0.79;False;0.19;False;0.155767557;0.28;False;0.239115523;ERR;ERR;ERR;ERR;ERR;ERR
588;0.02;False;2.78;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
589;0.1;True;0.01;True;0.01;True;0.2;True;0.13468871799999999;0.25;True;0.196296361;ERR;ERR;ERR;ERR;ERR;ERR
590;0.0;False;0.01;True;0.01;True;16.99;True;0.14648495399999995;10.63;True;0.30642429300000096;ERR;ERR;ERR;ERR;ERR;ERR
591;TO;TO;55.2;True;0.7;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
592;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;23.26;False;0.0021078740000000096;ERR;ERR;ERR;ERR;ERR;ERR
593;0.01;True;0.0;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
594;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
595;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
596;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
597;0.0;False;0.01;False;0.01;False;0.15;False;0.091874033;0.19;False;0.085073445;ERR;ERR;ERR;ERR;ERR;ERR
598;0.01;False;0.02;True;0.02;True;6.17;True;0.0013335019999995978;14.89;True;0.014202247999998363;ERR;ERR;ERR;ERR;ERR;ERR
599;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
600;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
601;0.01;False;0.61;False;1.31;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
602;0.01;False;0.01;True;0.0;True;6.63;True;0.2311711980000002;9.5;True;0.416559405000001;ERR;ERR;ERR;ERR;ERR;ERR
603;0.01;False;0.98;False;0.01;False;1.07;False;0.42141095800000006;3.85;False;0.6540576200000001;ERR;ERR;ERR;ERR;ERR;ERR
604;0.0;True;0.01;True;0.01;True;1.71;True;0.0010778579999999316;0.64;True;0.0015876739999999279;ERR;ERR;ERR;ERR;ERR;ERR
605;0.01;False;0.6;False;0.93;False;37.19;False;0.1714998009999995;6.26;False;0.19077380100000063;ERR;ERR;ERR;ERR;ERR;ERR
606;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
607;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
608;0.02;True;0.01;True;0.01;True;0.55;True;0.462760674;0.46;True;0.395155248;ERR;ERR;ERR;ERR;ERR;ERR
609;0.01;False;0.01;True;0.01;True;14.17;True;0.3316565160000007;22.15;True;0.6208914979999989;ERR;ERR;ERR;ERR;ERR;ERR
