name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result
844;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.03;False
845;0.85;True;0.01;True;0.01;True;0.1;True;0.07256248200000001;0.05;True;0.05;True;0.03;True
846;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.06;False;0.04;False
847;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.05;False;0.03;False;0.04;False
848;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.04;False;0.09;False;0.03;False
849;0.0;False;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
850;TO;TO;0.15;True;0.01;True;ERR;ERR;ERR;0.06;True;0.22;False;0.04;True
851;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
852;0.01;False;6.09;False;3.96;False;ERR;ERR;ERR;0.48;False;ERR;ERR;11.61;False
853;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.03;False
854;0.02;True;0.0;True;0.01;True;ERR;ERR;ERR;0.06;True;0.04;True;0.02;True
855;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.05;False
856;ERR;ERR;0.01;True;0.01;True;0.14;True;0.10547937600000001;0.05;True;0.03;True;0.03;True
857;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.04;False
858;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;27.82;False;0.43;False;32.07;False
859;0.01;False;0.01;True;0.02;True;ERR;ERR;ERR;0.06;True;0.17;False;0.05;True
860;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
861;0.02;False;16.22;False;ERR;ERR;TO;TO;TO;17.61;False;42.57;False;TO;TO
862;0.01;False;0.01;False;0.02;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
863;0.01;False;0.05;False;0.07;False;ERR;ERR;ERR;0.06;False;0.16;False;0.15;False
864;14.96;True;0.0;True;0.01;True;11.73;True;0.3651806050000008;0.04;True;0.67;False;0.04;True
865;35.42;True;0.01;True;0.01;True;0.25;True;0.218793699;0.05;True;0.06;True;0.03;True
866;0.61;False;TO;TO;TO;TO;0.24;False;0.14029956;20.39;False;0.49;False;TO;TO
867;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
868;0.01;False;0.01;True;0.0;True;9.24;True;0.29403780400000024;ERR;ERR;ERR;ERR;ERR;ERR
869;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;ERR;ERR;0.04;False
870;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.03;False;0.03;False
871;0.0;False;0.01;False;0.01;False;72.28;False;0.25040260100000467;ERR;ERR;ERR;ERR;ERR;ERR
872;0.01;False;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
873;0.01;False;3.33;False;ERR;ERR;ERR;ERR;ERR;6.55;False;6.01;False;43.92;False
874;87.44;False;0.37;False;0.54;False;ERR;ERR;ERR;0.09;False;0.41;False;1.22;False
875;0.01;False;0.0;False;0.01;False;9.76;False;0.15337776299999994;0.07;False;0.05;False;0.04;False
876;0.01;False;0.01;True;0.0;True;0.35;True;0.10715242800000002;0.05;True;ERR;ERR;0.03;True
877;0.01;False;24.35;False;0.01;False;ERR;ERR;ERR;5.85;False;29.43;False;0.17;False
878;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.05;False
879;0.01;False;0.01;False;0.0;False;TO;TO;TO;0.06;False;0.03;False;0.03;False
880;0.01;False;0.01;True;0.01;True;0.24;True;0.15427291399999998;0.05;True;0.03;True;0.04;True
881;0.01;False;0.0;True;0.01;True;4.3;True;0.21432405499999962;ERR;ERR;ERR;ERR;ERR;ERR
882;0.12;True;0.01;True;0.01;True;0.42;True;0.232134202;0.05;True;0.26;False;0.04;True
883;0.01;True;0.01;False;0.01;False;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR
884;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.07;True;0.08;True;0.04;True
885;0.01;True;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
886;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
887;0.01;False;0.91;False;1.26;False;ERR;ERR;ERR;0.11;False;0.74;False;2.96;False
888;0.01;False;1.58;False;2.09;False;ERR;ERR;ERR;0.06;False;1.03;False;1.81;False
889;0.0;False;0.9;False;1.29;False;ERR;ERR;ERR;0.14;False;0.47;False;1.38;False
890;0.01;False;0.93;False;0.01;False;ERR;ERR;ERR;0.25;False;0.88;False;0.03;False
891;0.01;False;1.27;False;1.98;False;ERR;ERR;ERR;0.15;False;0.12;False;3.65;False
892;0.01;False;0.01;False;0.01;False;0.41;False;0.264934865;0.06;False;ERR;ERR;0.04;False
893;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.08;False;0.05;False
894;ERR;ERR;0.0;False;0.01;False;0.05;False;6.176000000000098e-05;0.06;False;0.03;False;0.04;False
895;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.07;False;0.06;False;0.04;False
896;0.01;False;0.0;True;0.01;True;4.61;True;0.28208180200000044;ERR;ERR;ERR;ERR;ERR;ERR
897;0.01;False;0.01;True;0.01;True;0.19;True;0.12536066499999998;0.07;True;ERR;ERR;0.04;True
898;ERR;ERR;5.5;False;0.01;False;ERR;ERR;ERR;0.05;True;0.04;False;8.47;False
899;0.02;True;0.0;True;0.01;True;0.49;True;0.0010412610000000155;0.06;True;0.13;False;0.04;True
900;0.0;False;0.94;False;1.43;False;1.33;False;0.28541879599999986;0.11;False;0.71;False;3.25;False
901;0.01;False;0.03;True;0.0;True;ERR;ERR;ERR;0.06;True;0.07;False;0.03;True
902;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.05;False
903;0.02;False;0.0;True;0.01;True;0.98;True;0.301043701;ERR;ERR;ERR;ERR;ERR;ERR
904;0.02;False;0.01;False;0.01;False;0.23;False;0.07323705300000002;0.06;False;0.03;False;0.02;False
905;0.06;True;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.05;False;0.02;True
906;0.01;False;0.01;False;0.01;False;2.3;False;0.1713987119999998;0.06;False;0.04;False;0.04;False
907;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.02;False;0.03;False
908;0.01;False;0.02;False;0.01;False;1.33;False;0.0015022010000000918;0.06;False;0.11;False;0.09;False
909;0.01;False;2.54;True;3.67;True;ERR;ERR;ERR;0.49;True;2.23;False;7.11;True
910;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
911;0.01;False;0.05;False;0.0;False;4.99;False;0.39769544700000026;ERR;ERR;ERR;ERR;ERR;ERR
912;0.01;False;0.63;False;0.5;False;TO;TO;TO;0.14;False;0.31;False;0.57;False
913;0.01;True;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
914;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
915;0.02;False;17.3;False;35.01;False;ERR;ERR;ERR;3.8;False;0.27;False;61.41;False
916;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
917;0.02;False;0.01;True;0.0;True;31.96;True;0.2259663759999988;ERR;ERR;ERR;ERR;ERR;ERR
918;14.43;False;6.57;False;0.01;False;0.18;False;0.127089547;1.33;False;0.06;False;0.04;False
919;0.01;False;0.01;True;0.0;True;ERR;ERR;ERR;0.06;True;0.12;False;0.03;True
920;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.02;False
921;0.0;False;0.1;False;0.01;False;ERR;ERR;ERR;0.19;False;0.27;False;0.05;False
922;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;0.05;True;0.02;True
923;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.05;False
924;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.03;False
925;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False
926;0.02;False;0.74;False;6.91;False;ERR;ERR;ERR;1.03;False;2.47;False;6.91;False
927;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
928;19.67;True;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;2.55;False;0.02;True
929;0.01;False;0.0;False;0.0;False;0.03;False;1.3600000000002499e-05;ERR;ERR;ERR;ERR;ERR;ERR
930;11.41;True;0.01;True;0.01;True;0.35;True;0.28051879999999996;0.06;True;0.05;True;0.02;True
931;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;0.06;False;0.04;False;0.04;False
932;0.01;False;0.01;True;0.01;True;0.17;True;0.09994869;0.05;True;0.04;False;0.03;True
933;0.01;False;1.09;False;1.62;False;ERR;ERR;ERR;0.12;False;0.38;False;3.52;False
934;ERR;ERR;0.01;False;0.0;False;8.56;False;0.17416559399999976;0.06;False;0.03;False;0.05;False
935;ERR;ERR;0.01;False;0.01;False;8.24;False;0.002310771999999517;0.06;False;0.03;False;0.03;False
936;0.14;False;0.09;False;0.11;False;0.56;False;0.10806308800000003;0.06;False;ERR;ERR;0.22;False
937;ERR;ERR;TO;TO;0.01;False;15.66;False;0.07824760800000163;34.97;False;0.27;False;TO;TO
938;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
939;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.05;False
940;0.4;True;0.0;True;0.01;True;ERR;ERR;ERR;0.05;True;0.07;True;0.04;True
941;ERR;ERR;0.01;True;0.01;True;1.37;True;0.15033674099999983;0.06;True;ERR;ERR;0.04;True
942;0.01;False;15.43;False;0.01;False;ERR;ERR;ERR;1.21;False;0.06;False;41.41;False
943;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;2.79;False;1.9;False;TO;TO
944;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.09;False;0.04;False
945;0.01;False;0.01;False;0.01;False;17.61;False;0.1143190539999992;ERR;ERR;ERR;ERR;ERR;ERR
946;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.01;False;0.03;False
947;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.03;False;0.03;False
948;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
949;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
950;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.06;False;ERR;ERR;0.04;False
951;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.04;False
952;0.01;False;37.99;False;34.36;False;ERR;ERR;ERR;3.02;False;5.25;False;67.14;False
953;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.05;False
954;41.65;True;0.01;True;0.01;True;0.29;True;0.10715735800000001;0.05;True;0.19;False;0.03;True
955;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.05;False;0.05;False
956;0.02;False;64.68;False;86.7;False;ERR;ERR;ERR;3.76;False;0.28;False;TO;TO
957;0.01;False;0.09;False;0.01;False;0.4;False;0.13622662600000002;0.07;False;0.16;False;0.05;False
958;TO;TO;0.01;True;0.0;True;0.47;True;0.17874022899999997;0.05;True;0.04;True;0.03;True
959;11.23;True;0.01;True;0.01;True;0.65;True;0.15580664599999994;0.06;True;0.19;False;0.02;True
960;0.02;False;0.01;True;0.01;True;0.39;True;0.226321976;0.05;True;ERR;ERR;0.05;True
961;0.0;False;0.01;False;0.01;False;1.89;False;0.17199261199999993;0.06;False;0.05;False;0.04;False
962;0.01;False;0.01;False;0.01;False;7.88;False;0.11251050200000012;0.06;False;0.04;False;0.03;False
963;0.0;False;TO;TO;0.0;False;ERR;ERR;ERR;TO;TO;ERR;ERR;TO;TO
964;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
965;0.01;False;0.81;False;1.31;False;ERR;ERR;ERR;0.15;False;0.25;False;1.35;False
966;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.04;False;0.06;False;0.04;False
967;0.01;False;0.01;True;0.01;True;TO;TO;TO;0.05;True;ERR;ERR;0.03;True
968;0.01;False;59.46;False;ERR;ERR;ERR;ERR;ERR;7.42;False;49.32;False;95.67;False
969;0.01;False;0.01;True;0.01;True;4.34;True;0.2795490099999993;ERR;ERR;ERR;ERR;ERR;ERR
970;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
971;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.03;False
972;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.05;False;0.03;False
973;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR;0.06;False;0.03;False;0.04;False
974;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;0.06;False;0.03;False;0.03;False
975;0.02;False;0.01;True;0.01;True;0.19;True;0.13074171099999998;0.06;True;ERR;ERR;0.03;True
976;39.89;False;14.35;False;0.01;False;0.29;False;0.221099131;3.14;False;0.04;False;0.05;False
977;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;TO;TO;0.02;True
978;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.04;False
979;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR;0.05;False;0.05;False;0.03;False
980;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR;0.07;True;0.05;True;0.04;True
981;0.0;False;0.15;False;0.2;False;ERR;ERR;ERR;0.06;False;0.23;False;0.44;False
982;ERR;ERR;0.0;True;0.0;True;0.69;True;0.15552785600000008;0.05;True;ERR;ERR;0.04;True
983;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
984;0.01;False;0.0;False;0.01;False;TO;TO;TO;0.06;False;0.04;False;0.04;False
985;ERR;ERR;0.05;True;0.05;True;ERR;ERR;ERR;0.06;True;0.19;False;0.16;True
986;0.11;True;0.0;True;0.01;True;0.39;True;0.187010517;0.07;True;0.76;False;0.03;True
987;37.95;True;0.0;True;0.01;True;0.69;True;0.17522060499999997;0.05;True;0.23;False;0.04;True
988;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.04;True;0.04;True
989;0.02;False;0.21;False;0.01;False;5.65;False;0.347165747;0.07;False;0.3;False;0.04;False
990;0.96;True;0.01;True;0.01;True;ERR;ERR;ERR;0.05;True;15.3;False;0.03;True
991;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.12;False;0.03;True
992;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.03;False;TO;TO
993;0.01;False;0.11;False;0.07;False;ERR;ERR;ERR;0.18;False;0.57;False;0.04;False
994;0.01;False;0.1;False;0.06;False;ERR;ERR;ERR;0.21;False;0.35;False;0.12;False
995;0.02;False;0.01;False;0.01;False;TO;TO;TO;0.05;False;0.03;False;0.04;False
996;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR;0.05;False;0.02;False;0.02;False
997;0.01;False;TO;TO;0.0;False;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
998;0.01;True;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.02;False
999;0.02;False;2.24;False;0.08;False;ERR;ERR;ERR;0.51;False;1.57;False;5.33;False
1000;76.86;False;0.38;False;0.53;False;0.19;False;0.15143066200000002;0.1;False;0.44;False;1.17;False
1001;0.02;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;0.04;False;TO;TO
1002;0.01;False;25.85;False;38.44;False;ERR;ERR;ERR;1.55;False;0.23;False;74.84;False
1003;0.02;False;0.01;True;0.01;True;1.08;True;0.32162114099999994;0.06;True;0.08;True;0.03;True
1004;ERR;ERR;7.16;False;0.0;False;1.24;False;0.10827842799999998;0.8;False;0.06;False;13.25;False
1005;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR;0.06;True;0.08;False;0.04;True
1006;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR;0.06;True;0.05;True;0.03;True
1007;0.01;False;0.01;False;0.01;False;1.63;False;0.21036903000000007;0.06;False;0.04;False;0.04;False
1008;0.01;False;TO;TO;ERR;ERR;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
1009;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.02;False;0.04;False
1010;0.0;False;0.72;False;1.86;False;ERR;ERR;ERR;ERR;ERR;0.59;False;1.95;False
1011;0.01;False;1.59;True;2.29;True;17.52;True;0.3404785100000005;0.37;True;2.53;False;5.35;True
1012;0.01;True;TO;TO;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
1013;0.21;False;0.09;False;0.12;False;0.38;False;0.08759014700000001;0.06;False;ERR;ERR;0.35;False
1014;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR;0.06;False;0.04;False;0.04;False
1015;TO;TO;45.32;True;0.46;True;ERR;ERR;ERR;0.15;True;0.03;False;1.19;True
1016;ERR;ERR;0.0;True;0.0;True;ERR;ERR;ERR;0.06;True;0.06;True;0.04;True
1017;0.01;False;0.01;False;0.01;False;1.42;False;0.17948547999999986;0.05;False;0.05;False;0.04;False
1018;0.03;False;0.01;False;0.01;False;0.53;False;0.12498056500000004;0.05;False;0.03;False;0.04;False
1019;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;TO;TO;TO;TO
1020;0.02;True;0.0;False;0.01;False;ERR;ERR;ERR;0.05;False;0.04;False;0.04;False
1021;TO;TO;57.46;True;0.44;True;ERR;ERR;ERR;0.14;True;42.37;False;1.23;True
1022;0.02;False;0.0;False;0.01;False;3.31;False;0.07757053800000024;0.05;False;0.02;False;0.04;False
