name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;nolocrsa-runtime;nolocrsa-result;nolocrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
296;0.01;False;2.78;False;8.48;False;9.47;False;0.1777506330000005;2.32;False;0.03641296599999988;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
297;0.01;False;0.0;False;0.01;False;26.37;False;0.48654794799999834;4.0;False;0.05127657600000024;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
298;0.02;False;0.01;False;0.01;False;0.05;False;3.635400000000233e-05;0.03;False;2.1292000000006084e-05;0.06;False;0.05;False;0.03;False;ERR;ERR;ERR
299;0.01;False;0.0;False;0.01;False;1.16;False;0.19330276700000004;0.66;False;0.035043611000000086;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
300;ERR;ERR;0.0;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
301;0.0;False;14.89;False;ERR;ERR;0.86;False;0.31727256600000003;0.17;False;0.08383164100000001;ERR;ERR;38.08;False;TO;TO;ERR;ERR;ERR
302;0.01;False;TO;TO;ERR;ERR;7.45;False;0.23459711000000016;0.19;False;0.044671081;TO;TO;61.6;False;TO;TO;ERR;ERR;ERR
303;0.02;False;2.12;False;4.8;False;2.86;False;0.422283137;0.25;False;0.149744967;0.58;False;1.82;False;8.82;False;ERR;ERR;ERR
304;0.01;False;TO;TO;ERR;ERR;9.98;False;0.0012557349999990919;0.17;False;0.0003889640000000194;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR
305;0.01;False;15.67;False;ERR;ERR;TO;TO;TO;5.55;False;0.06470972999999969;17.59;False;42.73;False;TO;TO;ERR;ERR;ERR
306;0.61;False;TO;TO;TO;TO;0.25;False;0.13989986000000001;0.17;False;0.085971733;20.43;False;0.49;False;TO;TO;ERR;ERR;ERR
307;0.0;False;0.01;True;0.01;True;10.25;True;0.2801422440000003;1.09;True;0.029648333000000138;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
308;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR;0.07;False;3.3860999999996144e-05;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
309;0.01;False;0.0;False;0.01;False;80.81;False;0.25641607999999394;1.16;False;0.02797455900000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
310;88.31;False;0.36;False;0.85;False;ERR;ERR;ERR;0.13;False;0.09370215700000001;0.1;False;0.4;False;1.26;False;ERR;ERR;ERR
311;0.01;False;0.01;False;0.0;False;10.72;False;0.15968898300000056;0.71;False;0.03466838800000005;0.07;False;0.06;False;0.04;False;ERR;ERR;ERR
312;0.01;False;0.01;False;0.01;False;TO;TO;TO;0.74;False;5.037499999993589e-05;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
313;0.01;False;0.01;True;0.01;True;4.72;True;0.2113430860000003;0.62;True;0.029271175999999954;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
314;0.12;True;0.0;True;0.01;True;0.44;True;0.24662386199999997;0.09;True;0.059271737;0.05;True;0.26;False;0.04;True;ERR;ERR;ERR
315;0.02;True;0.0;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
316;0.01;False;0.01;False;0.01;False;0.39;False;0.270014912;0.17;False;0.091055665;0.04;False;ERR;ERR;0.05;False;ERR;ERR;ERR
317;ERR;ERR;0.01;False;0.01;False;0.05;False;7.341999999999765e-05;0.03;False;2.4517000000001676e-05;0.06;False;0.04;False;0.03;False;ERR;ERR;ERR
318;0.01;False;0.01;True;0.01;True;5.03;True;0.27905680400000055;0.67;True;0.03598559499999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
319;0.01;False;0.01;True;0.0;True;0.2;True;0.130737076;0.08;True;0.047831435;0.06;True;ERR;ERR;0.02;True;ERR;ERR;ERR
320;0.02;True;0.01;True;0.01;True;0.54;True;0.0010499659999999578;0.05;True;0.0002527490000000035;0.06;True;0.12;False;0.03;True;ERR;ERR;ERR
321;0.0;False;0.94;False;1.41;False;1.54;False;0.28905936;0.25;False;0.10909569200000002;0.11;False;0.74;False;3.17;False;ERR;ERR;ERR
322;0.01;False;0.01;True;0.0;True;1.09;True;0.3082082599999999;0.24;True;0.08149607499999997;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
323;0.0;False;0.02;False;0.01;False;1.51;False;0.0014577179999999412;0.08;False;0.0005550229999999878;0.06;False;0.12;False;0.09;False;ERR;ERR;ERR
324;0.01;False;0.05;False;0.01;False;5.5;False;0.40713151499999967;0.78;False;0.051367052000000024;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
325;0.01;False;0.58;False;0.51;False;TO;TO;TO;6.04;False;0.12893501200000035;0.13;False;0.32;False;0.6;False;ERR;ERR;ERR
326;0.01;False;0.01;True;0.01;True;32.27;True;0.2243558979999989;7.77;True;0.02436231799999966;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
327;14.31;False;6.65;False;0.0;False;0.18;False;0.127805526;0.07;False;0.038617144;1.35;False;0.06;False;0.03;False;ERR;ERR;ERR
328;0.0;False;0.0;False;0.01;False;0.04;False;2.395599999999859e-05;0.03;False;1.3819999999997723e-05;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
329;11.34;True;0.01;True;0.01;True;0.35;True;0.28123920999999996;0.11;True;0.08161269099999999;0.05;True;0.05;True;0.05;True;ERR;ERR;ERR
330;ERR;ERR;0.01;False;0.0;False;TO;TO;TO;1.29;False;0.00037589400000004325;0.06;False;0.04;False;0.03;False;ERR;ERR;ERR
331;0.0;False;0.01;True;0.01;True;0.17;True;0.10054236400000001;0.08;True;0.036762109999999994;0.07;True;0.05;False;0.04;True;ERR;ERR;ERR
332;ERR;ERR;0.0;False;0.01;False;9.05;False;0.17188943599999984;0.27;False;0.02950614899999998;0.06;False;0.02;False;0.04;False;ERR;ERR;ERR
333;ERR;ERR;0.01;False;0.01;False;9.18;False;0.0017960959999996362;0.23;False;0.00034868400000001576;0.06;False;0.03;False;0.03;False;ERR;ERR;ERR
334;0.14;False;0.09;False;0.12;False;0.6;False;0.10564695600000001;0.16;False;0.028607660000000007;0.06;False;ERR;ERR;0.21;False;ERR;ERR;ERR
335;ERR;ERR;TO;TO;0.0;False;16.49;False;0.07864004800000046;3.77;False;0.02399459600000009;34.56;False;0.28;False;TO;TO;ERR;ERR;ERR
336;ERR;ERR;0.01;True;0.01;True;1.5;True;0.14116668200000015;0.18;True;0.022680693000000002;0.06;True;ERR;ERR;0.05;True;ERR;ERR;ERR
337;0.0;False;0.0;False;0.0;False;19.35;False;0.1158675370000033;2.18;False;0.03344920699999987;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
338;42.09;True;0.02;True;0.01;True;0.32;True;0.112280783;0.1;True;0.02830743000000001;0.05;True;0.19;False;0.03;True;ERR;ERR;ERR
339;0.01;False;0.1;False;0.01;False;0.46;False;0.138716263;0.15;False;0.04033874800000001;0.07;False;0.18;False;0.04;False;ERR;ERR;ERR
340;11.42;True;0.0;True;0.01;True;0.7;True;0.16225713700000005;0.23;True;0.044681677;0.05;True;0.19;False;0.03;True;ERR;ERR;ERR
341;0.01;False;0.01;True;0.01;True;0.41;True;0.233453814;0.15;True;0.07449477700000001;0.06;True;ERR;ERR;0.03;True;ERR;ERR;ERR
342;0.02;False;0.01;True;0.01;True;TO;TO;TO;4.69;True;0.21239191000000002;0.05;True;ERR;ERR;0.04;True;ERR;ERR;ERR
343;0.01;False;0.0;True;0.0;True;4.84;True;0.2800648180000005;0.64;True;0.03575272500000004;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
344;0.01;False;0.0;True;0.01;True;0.2;True;0.138104125;0.09;True;0.04858945299999999;0.07;True;ERR;ERR;0.03;True;ERR;ERR;ERR
345;39.99;False;14.3;False;0.0;False;0.28;False;0.22009301999999997;0.11;False;0.067999578;3.15;False;0.05;False;0.03;False;ERR;ERR;ERR
